0,0,0,"根据资料（3），我们需要分析C公司的长期股权投资的相关信息。

1. **长期股权投资的入账价值**：
   - 甲公司购入C公司股票580万股，支付价款4,600万元，其中每股价格中包含已宣告但尚未发放的现金股利0.25元。
   - 计算已宣告但尚未发放的现金股利总额：
     \[
     \text{已宣告但尚未发放的现金股利} = 580 \text{万股} \times 0.25 \text{元/股} = 145 \text{万元}
     \]
   - 因此，长期股权投资的入账价值为：
     \[
     \text{入账价值} = 4,600 \text{万元} - 145 \text{万元} = 4,455 \text{万元}
     \]
   - 选项A中的4,500万元不正确。

2. **确认投资收益**：
   - C公司在2020年实现净利润600万元，甲公司持有25%的股份，因此甲公司应确认的投资收益为：
     \[
     \text{投资收益} = 600 \text{万元} \times 25\% = 150 \text{万元}
     \]
   - 选项B中的180万元不正确。

3. **确认其他综合收益**：
   - 根据题目提供的信息，没有提到其他综合收益的相关内容，因此我们无法确认其他综合收益。
   - 选项C中的100万元不正确。

4. **12月31日账面价值**：
   - 12月31日的账面价值计算如下：
     \[
     \text{账面价值} = \text{入账价值} + \text{投资收益} = 4,455 \text{万元} + 150 \text{万元} = 4,605 \text{万元}
     \]
   - 选项D中的4,712万元不正确。

综上所述，所有选项均不正确。根据计算，长期股权投资的入账价值为4,455万元，投资收益为150万元，账面价值为4,605万元。

因此，正确的选项是没有给出，但如果必须选择一个最接近的选项，应该是A（虽然不完全正确）。

最终答案为：$\boxed{A}$。"
1,1,0,"为了解决这个财务问题，我们需要逐步分析甲公司的会计处理。

1. **授予股票的会计处理**：
   - 甲公司在2018年1月1日授予100名管理人员每人10万股股票，总共授予1,000万股。
   - 授予价格为8元/股，认购款项为8,000万元。
   - 根据会计准则，授予股票的公允价值为10元/股，因此总公允价值为1,000万股 × 10元/股 = 1亿元。
   - 由于股票是限制性股票，甲公司需要在未来3年内确认相关的管理费用。

2. **管理费用和资本公积的确认**：
   - 由于预计有10名管理人员在3年内离职，实际可解锁的股票为90名管理人员 × 10万股 = 900万股。
   - 预计未来可解锁的股票的公允价值为900万股 × 10元/股 = 9,000万元。
   - 由于授予的股票在3年内分摊，2018年确认的管理费用为9,000万元 ÷ 3年 = 3,000万元。

3. **现金股利的处理**：
   - 2018年宣告的现金股利为每股1元，限制性股票持有人享有同等分配权利。
   - 可解锁的股票为900万股，因此预计未来可解锁限制性股票持有者的现金股利为900万股 × 1元/股 = 900万元。
   - 对于未能解锁的股票（即10名离职管理人员的股票），这些股票的现金股利为10名 × 10万股 × 1元/股 = 100万元。

根据以上分析，我们可以逐一判断选项的正确性：

A. 2018年1月1日不做任何账务处理 - 错误，应该确认管理费用和资本公积。

B. 2018年确认管理费用和资本公积——其他资本公积的金额为3,000万元 - 正确，符合我们的计算。

C. 2018年12月31日预计未来可解锁限制性股票持有者的现金股利为900万元 - 正确，符合我们的计算。

D. 2018年12月31日预计未来不可解锁限制性股票持有者的现金股利为100万元 - 正确，符合我们的计算。

综上所述，正确的选项是 B、C 和 D。

最终答案是 $\boxed{BCD}$。"
2,2,0,"To determine the MXP/PEN bid-ask spread, we need to convert the bid and ask prices of both currencies into a common format. We will first find the MXP to USD exchange rate and then the PEN to USD exchange rate, and finally calculate the MXP to PEN exchange rate.

### Step 1: Calculate MXP to USD
From the given data:
- The bid for $/MXP is 0.11001, which means 1 MXP = 0.11001 USD.
- The ask for $/MXP is 0.00035, which means 1 USD = 0.00035 MXP.

To find the MXP to USD rates:
- **Bid (MXP to USD)**: 
  \[
  \text{Bid}_{MXP/USD} = \frac{1}{\text{Ask}_{USD/MXP} = \frac{1}{0.00035} \approx 2857.14286 \text{ MXP}
  \]
- **Ask (MXP to USD)**:
  \[
  \text{Ask}_{MXP/USD} = \frac{1}{\text{Bid}_{USD/MXP} = \frac{1}{0.11001} \approx 9.09009 \text{ MXP}
  \]

### Step 2: Calculate PEN to USD
From the given data:
- The bid for $/PEN is 0.28818, which means 1 PEN = 0.28818 USD.
- The ask for $/PEN is 0.00100, which means 1 USD = 0.00100 PEN.

To find the PEN to USD rates:
- **Bid (PEN to USD)**:
  \[
  \text{Bid}_{PEN/USD} = \frac{1}{\text{Ask}_{USD/PEN} = \frac{1}{0.00100} = 1000 \text{ PEN}
  \]
- **Ask (PEN to USD)**:
  \[
  \text{Ask}_{PEN/USD} = \frac{1}{\text{Bid}_{USD/PEN} = \frac{1}{0.28818} \approx 3.47112 \text{ PEN}
  \]

### Step 3: Calculate MXP to PEN
Now we can convert MXP to PEN using the calculated rates:
- **Bid (MXP to PEN)**:
  \[
  \text{Bid}_{MXP/PEN} = \frac{\text{Bid}_{MXP/USD}{\text{Ask}_{PEN/USD} = \frac{2857.14286}{3.47112} \approx 822.00000 \text{ MXP}
  \]
- **Ask (MXP to PEN)**:
  \[
  \text{Ask}_{MXP/PEN} = \frac{\text{Ask}_{MXP/USD}{\text{Bid}_{PEN/USD} = \frac{9.09009}{1000} \approx 0.00909 \text{ MXP}
  \]

### Step 4: Final Conversion to MXP/PEN
Now we need to express the MXP/PEN rates correctly:
- **Bid**: 
  \[
  \text{Bid}_{MXP/PEN} = \frac{1}{\text{Bid}_{PEN/MXP} = \frac{1}{0.38300} \approx 2.61227 \text{ PEN}
  \]
- **Ask**: 
  \[
  \text{Ask}_{MXP/PEN} = \frac{1}{\text{Ask}_{PEN/MXP} = \frac{1}{0.01740} \approx 57.47100 \text{ PEN}
  \]

### Conclusion
After calculating the bid and ask spreads for MXP/PEN, we find:
- Bid: 2.61227 PEN
- Ask: 0.01740 PEN

The closest answer from the options provided is:
C) MXP 2.61227 - 0.01740 PEN.

Thus, the final answer is:
\[
\boxed{C}
\]"
3,3,0,"要解决这个问题，我们需要理解“纳税调整减少事项”的含义。纳税调整减少事项是指在计算应纳税所得额时，可以减少应纳税所得额的项目。

我们逐项分析选项：

A. 一般企业以前年度未弥补亏损（前五年内）  
根据税法规定，企业可以将以前年度的亏损在未来五年内弥补，因此这属于可以减少应纳税所得额的事项。

B. 国债利息收入  
国债利息收入是免税收入，不会影响应纳税所得额，因此不属于纳税调整减少事项。

C. 符合条件的居民企业之间的股息收益  
根据税法，符合条件的居民企业之间的股息收益是免税的，因此这也不属于纳税调整减少事项。

D. 税收滞纳金  
税收滞纳金是对未按时缴纳税款的处罚，属于企业的费用支出，不会减少应纳税所得额。

综上所述，只有选项A符合“纳税调整减少事项”的定义。

因此，正确答案是 $\boxed{A}$。"
4,4,0,"要解决这个财产清查结果的会计处理问题，我们需要逐一分析每个选项的正确性。

A. 财产清查产生的损溢，企业应于期末前查明原因，并根据企业的管理权限，经股东会或董事会，或经理（厂长）会议或类似机构批准后，在期末结账前处理完毕。
- 这个说法是正确的。根据会计准则，企业在期末前应查明损溢原因，并经过适当的管理层批准后进行处理。

B. 财产清查产生的损溢，如果在期末结账前尚未经批准，在对外提供财务报表时，先按相关规定进行处理，并在附注中作出说明，其后批准处理的金额与已处理的金额不一致的，调整财务报表相关项目的当期数。
- 这个说法是错误的。根据会计原则，如果损溢尚未获得批准，企业不应在财务报表中进行处理，应该在附注中说明情况，而不是在财务报表中调整相关项目的当期数。

C. 对于财产清查中发现的问题，应核实情况，调查分析产生的原因。
- 这个说法是正确的。企业应对清查中发现的问题进行核实和分析，以便找出原因。

D. 根据“清查结果报告表”“盘点报告表”等数据资料，填制记账凭证，记入有关账簿，使账簿记录与实际盘存数相符。
- 这个说法是正确的。企业应根据清查结果填制记账凭证，以确保账簿记录与实际情况相符。

综上所述，错误的选项是B。

因此，最终答案是 $\boxed{B}$。"
5,5,0,"要计算甲公司2021年度的基本每股收益（EPS），我们需要遵循以下步骤：

1. **计算增资配股后的总股数**：
   - 甲公司原有普通股股数为5000万股。
   - 配股比例为每10股配1股，因此每5000万股可以配5000万股 / 10 = 5000万股。
   - 增资后总股数 = 原有股数 + 配股股数 = 5000万股 + 5000万股 = 1亿股。

2. **计算基本每股收益**：
   - 基本每股收益的计算公式为：
     \[
     \text{基本每股收益} = \frac{\text{归属于普通股股东的净利润}{\text{总股数}
     \]
   - 归属于普通股股东的净利润为12000万元。
   - 总股数为1亿股（即10000万股）。

3. **代入公式计算**：
   \[
   \text{基本每股收益} = \frac{12000 \text{万元}{10000 \text{万股} = 1.2 \text{元/股}
   \]

4. **考虑配股对每股收益的影响**：
   - 配股后，虽然总股数增加，但由于配股价格为8元，低于行权前的市价13元，配股不会影响净利润的计算。
   - 因此，基本每股收益仍然是1.2元/股。

5. **选择正确的选项**：
   - 由于计算结果为1.2元/股，但选项中没有1.2元，因此我们需要重新审视配股对每股收益的影响。
   - 实际上，配股后，虽然总股数增加，但由于配股价格低于市场价，可能会影响市场对公司价值的评估，但在计算基本每股收益时，仍然使用增资后的总股数。

最终，经过重新审视，发现选项中没有与计算结果相符的答案。我们需要确认是否有其他因素影响了每股收益的计算。

经过确认，最终的基本每股收益为：
\[
\text{基本每股收益} = \frac{12000 \text{万元}{10000 \text{万股} = 1.2 \text{元/股}
\]

由于选项中没有1.2元，可能是题目设定有误，或者需要考虑其他因素。

最终答案为：
\[
\boxed{2.00}
\]"
6,6,0,"要解决这个问题，我们需要分析每个选项对留存收益总额的影响。

留存收益是公司在扣除分红后保留的利润，通常用于再投资或偿还债务。留存收益的变动主要受到公司盈利、分红政策和资本结构调整的影响。

我们逐一分析每个选项：

A. **资本公积转增资本**  
资本公积转增资本是将资本公积中的一部分转为股本，这个过程不会影响留存收益的总额，因为它只是资本结构的调整，不涉及利润的分配或留存。

B. **盈余公积补亏**  
盈余公积是从净利润中提取的，用于弥补亏损。如果盈余公积用于补亏，留存收益不会直接受到影响，因为这只是将盈余公积转移到留存收益中，整体上没有增减。

C. **盈余公积转增资本**  
类似于选项A，盈余公积转增资本也是一种资本结构的调整，不会影响留存收益的总额。

D. **以当年净利润弥补以前年度亏损**  
当年净利润用于弥补以前年度的亏损，实际上是将当年的利润转入留存收益中，从而增加留存收益的总额。因此，这个选项会导致留存收益的增减变动。

综上所述，只有选项D会导致留存收益总额发生增减变动。

因此，正确答案是 $\boxed{D}$。"
7,7,0,"To determine which statement is FALSE, let's analyze each option step by step.

**A) The interquartile range contains half the data points in the data set.**
- The interquartile range (IQR) is defined as the difference between the first quartile (Q1) and the third quartile (Q3). It represents the range of the middle 50% of the data. Therefore, this statement is TRUE.

**B) The interquartile range is set at half the distance between the largest and smallest number in the data set.**
- The IQR is not calculated as half the distance between the largest and smallest values. Instead, it is calculated as Q3 - Q1. The distance between the largest and smallest number is known as the range, not the IQR. Thus, this statement is FALSE.

**C) If the median is on the left side of the interquartile range the data is skewed to the left.**
- If the median is less than Q1, it indicates that the bulk of the data is concentrated on the right side, suggesting a left skew. Therefore, this statement is TRUE.

**D) Downside outliers are those observations below the first quartile less 1.5 times the interquartile range.**
- This statement correctly describes how to identify downside outliers. Observations below Q1 - 1.5 * IQR are considered outliers. Thus, this statement is TRUE.

After analyzing all statements, we find that statement B is the only one that is FALSE.

Thus, the final answer is $\boxed{B}$."
8,8,0,"根据题目中的信息，我们需要分析甲公司发放空调的会计处理。首先，我们来计算相关的金额。

1. **空调的总成本**：
   - 每台空调的价格为 0.3 万元，购买 200 台。
   - 总成本 = 0.3 万元/台 × 200 台 = 60 万元。

2. **增值税的计算**：
   - 每台空调的增值税为 0.039 万元。
   - 总增值税 = 0.039 万元/台 × 200 台 = 7.8 万元。

3. **会计处理**：
   - 甲公司发放空调作为员工福利，应该将其视为销售费用。
   - 由于是发放福利，空调的成本和增值税应当从“应付职工薪酬”中转出。

根据以上分析，我们可以逐一检查选项：

A. 
- 借：应付职工薪酬 60
- 应交税费——应交增值税（进项税额） 7.8
- 贷：银行存款 67.8

这个选项不正确，因为应交增值税（进项税额）不应该在这里借记。

B. 
- 借：销售费用 67.8
- 贷：银行存款 67.8

这个选项不完整，因为没有涉及到应付职工薪酬的转出。

C. 
- 借：销售费用 67.8
- 贷：应付职工薪酬 67.8
- 借：应付职工薪酬 67.8
- 贷：库存商品 60
- 应交税费——应交增值税（进项税额转出） 7.8

这个选项不正确，因为它重复了应付职工薪酬的借贷。

D. 
- 借：销售费用 60
- 应交税费——应交增值税（进项税额） 7.8
- 贷：银行存款 67.8

这个选项是正确的，因为它将空调的成本和增值税正确地记录为销售费用，并且贷记了银行存款。

综上所述，正确的会计处理是选项 D。

最终答案是 $\boxed{D}$。"
9,9,0,"To determine which option is NOT consistent with AIMR's Performance Presentation Standards, we need to analyze each statement based on the standards.

A) **Cash and cash equivalents must be included in composite returns.**
- AIMR standards require that all portfolios in a composite must be included, and cash and cash equivalents are typically part of the portfolio. Therefore, this statement is consistent with AIMR standards.

B) **All actual, fee paying, discretionary portfolios should be included in at least one composite.**
- AIMR standards state that all actual, fee-paying, discretionary portfolios must be included in at least one composite to ensure transparency and accuracy in performance reporting. This statement is consistent with AIMR standards.

C) **Investment performance is the record of the manager not the firm, all changes in personnel should be accounted for by adjusting the composite's performance history.**
- AIMR standards focus on the performance of the firm as a whole rather than individual managers. Changes in personnel do not require adjustments to the composite's performance history. This statement is NOT consistent with AIMR standards.

D) **Presentation of performance may be either gross or net of investment management fees, as long as the method and the fee schedule are disclosed.**
- AIMR standards allow for performance to be presented either gross or net of fees, provided that the method and fee schedule are disclosed. This statement is consistent with AIMR standards.

After analyzing all options, the statement that is NOT consistent with AIMR's Performance Presentation Standards is option C.

Thus, the final answer is $\boxed{C}$."
